贴吧名,帖子标题,ID,内容,发布时间
再婚吧,婚姻法又将修改新增离婚冷静期等条款你怎么看,地铁达人守望者,"《婚姻法》又将修改，新增“离婚冷静期”等条款，你怎么看？
民法典婚姻家庭编拟新增骗婚无效情形、离婚1个月冷静期规定
检察日报微博8月27日消息，今天下午，民法典各分编草案提请第十三届全国人大常委会第五次会议审议。
民法典各分编草案中有关婚姻家庭编部分，与现行婚姻法、收养法相比，主要修改5方面：修改患有疾病禁止结婚的相关内容，草案规定，一方患有严重疾病的应当在结婚登记前如实告知对方，不如实告知的，对方可以请求撤销该婚姻；增加一项婚姻无效的情形，规定以伪造、编造、冒用证件等方式骗取结婚登记的婚姻无效；草案新规定了一个月的离婚冷静期，在此期间，任何一方可以向登记机关撤回离婚申请；草案增加了离婚损害赔偿的兜底条款；不再保留计划生育的有关内容。",2018-08-27 17:47
再婚吧,婚姻法又将修改新增离婚冷静期等条款你怎么看,贴吧用户_0CK6SE2,,2018-08-27 18:41
再婚吧,婚姻法又将修改新增离婚冷静期等条款你怎么看,地铁达人守望者,不知道吧里有个什么淫当10怎么看，帮我艾特他，没记住他的贴吧ID叫啥,2018-08-27 18:44
再婚吧,婚姻法又将修改新增离婚冷静期等条款你怎么看,詹煜城,,2018-08-27 20:18
再婚吧,婚姻法又将修改新增离婚冷静期等条款你怎么看,97的雪碧,说实话国家应出台强制婚前财产公证和协议在民政局备案，反正现在的婚姻现实如此,2018-08-28 16:09
