贴吧名,帖子标题,ID,内容,发布时间
推文吧,抖音小说尹星凡祁承全文阅读抖音小说离婚冷静期尹星凡祁,a心好g,"抖音小说《尹星凡祁承》全文阅读
抖音小说《离婚冷静期》尹星凡祁承 全文阅读
第一章 离婚冷静期
初春将至，却突然下起了大雪。
站在离婚大厅的门口，尹星凡想到了八年前和祁承领证结婚的日子。
也是这样的下雪天，很冷，但心却是热的。
不像此时，四肢冰凉，寒气入骨。
“离婚冷静期结束后再联系，我还有事，先走了。”身边传来祁承冷淡中带了几分不耐的声音。
尹星凡心底一片哀伤，就在刚才，他们两人提交了离婚申请，要结束这长达八年的婚姻。
三十天冷静期结束，他们将真正形同陌路，分道扬镳。
见祁承迈出脚步就要离开，尹星凡率先一步抓住了他的衣袂，声音沙哑。
“阿承，你能先送我回家吗？”
她的目光落在祁承俊朗出众的侧脸上，满是期许。
然而下一秒，男人却直接扯开了她的手。
“人总要学会一个人。”
祁承冷漠地说完，长腿直接迈上停在路边的西贝尔。
尹星凡的手僵在半空，看着黑色的车身飞速驶离，脑海中不觉想起八年前祁承向自己求婚时说的话：
“以后，我会永远陪着你，不离不弃。”",2021-10-26 12:55
推文吧,抖音小说尹星凡祁承全文阅读抖音小说离婚冷静期尹星凡祁,a心好g,全文  十。V,2021-10-26 12:57
