贴吧名,帖子标题,ID,内容,发布时间
女子的权利吧,离婚冷静期为什么就不可以一方要离就可离呢昨天发布的民,斯基泰turk,"#离婚冷静期# 为什么就不可以一方要离就可离呢？
昨天发布的民法典草案，没有取消离婚冷静期。
也就是说，如果是协议离婚，如何成功办理？
1 夫妻双方向婚姻登记机关申请
2 双方在三十天内均不撤回申请
3 三十天届满后，三十天内 &quot; 共同 &quot;&quot; 亲自 &quot; 前往婚姻登记机关领取离婚证
说说坑在哪里：
只要有一方在三十天内撤回申请，离不了；
双方在第二个三十天内，没有一起出现，没有亲自出现的，离不了；
看懂了吗？如果我不想离婚，我只要在第一个三十天内撤回申请，或者第二个三十天内玩失踪就可以了。
《中国妇女报》曾发起投票 : &quot; 协议离婚设冷静期，你赞同吗 ?&quot; 反对设立离婚冷静期的结果高达 95.1%。
邓颖超主张离婚自由时说 &quot; 我为什么主张不加条件，一方要离就可离呢？理由是中国长期停滞在封建社会，最受压迫的是妇女，婚姻问题上妇女所受的痛苦最深。早婚、老少婚、买卖婚姻、包办婚姻是普遍现象，所以，一方坚持要离就让离，主要根据广大妇女的利益提出。如加上很多条件，恰恰给有封建思想的干部一个控制和限制离婚自由的借口。过去没有这一条，发生了很多悲剧。&quot;
以后可能会有更多的离婚纠纷需要通过法院来解决，法院由诉前调解，签完字后就生效了，不能反悔。
不得不说，此法在实施的过程中确实给女性带来一定的歧视。中国长期停滞在封建社会，最受压迫的是妇女，而如此，女方提出离婚，男方则有可能失踪，“我就是避而不去”，这类举动，相对来说，男方更有可能提出，进而掌握婚姻主动权。耗光女性耐心过后，可能出现更多的悲剧。",2019-12-25 15:59
女子的权利吧,离婚冷静期为什么就不可以一方要离就可离呢昨天发布的民,薰木,"可以钻空子，砸家具冷静一下，
共同财产，拘留都没法拘留。",2019-12-27 12:59
女子的权利吧,离婚冷静期为什么就不可以一方要离就可离呢昨天发布的民,薰木,还有精神暴力，多跟网上仇女男人学骂人，一天不骂不开心，家暴反正会跳停，不出人命不受伤，想怎么砸东西怎么砸。,2019-12-27 13:01
女子的权利吧,离婚冷静期为什么就不可以一方要离就可离呢昨天发布的民,意志坚定都行,女CEO赴美买精子生混血女，遭男网友痛批，不过不少女网友却表示支持，称这是好多女人的梦想啊 有孩子没老公的生活【图片】【图片】【图片】,2019-12-30 13:10
